ID,Locator,Filename/URL,Longitude,Latitude,Dip Angle,Slip(m),Strike Angle,Depth (km),Length(km),Width(km),Rake(deg)
1,mag_6.5,na,33,32.5,35,0.54,305,5,24.83,11.75,110
2,mag_6.75,na,33,32.5,35,0.76,305,5,34.87,14.13,110
3,mag_7,na,33,32.5,35,1.07,305,5,48.98,16.98,110
4,mag_7.25,na,33,32.5,35,1.5,305,5,68.79,20.42,110
5,mag_7.5,na,33,32.5,35,2.1,305,5,96.61,24.55,110
6,mag_7.75,na,33,32.5,35,2.57,305,5,135.68,33.92,110
7,mag_8,na,33,32.5,35,3.09,305,5,190.55,47.64,110
8,mag_8.25,na,33,32.5,35,3.72,305,5,267.61,66.9,110
9,mag_8.5,na,33,32.5,35,4.47,305,5,375.84,93.96,110
10,mag_8.75,na,33,32.5,35,5.37,305,5,527.84,131.96,110
11,mag_9,na,33,32.5,35,6.46,305,5,741.31,185.33,110
12,mag_9.25,na,33,32.5,35,7.76,305,5,1041.12,260.28,110
13,mag_9.5,na,33,32.5,35,9.33,305,5,1462.18,365.54,110
14,mag_6.5,na,33.5,32.5,35,0.54,305,5,24.83,11.75,110
15,mag_6.75,na,33.5,32.5,35,0.76,305,5,34.87,14.13,110
16,mag_7,na,33.5,32.5,35,1.07,305,5,48.98,16.98,110
17,mag_7.25,na,33.5,32.5,35,1.5,305,5,68.79,20.42,110
18,mag_7.5,na,33.5,32.5,35,2.1,305,5,96.61,24.55,110
19,mag_7.75,na,33.5,32.5,35,2.57,305,5,135.68,33.92,110
20,mag_8,na,33.5,32.5,35,3.09,305,5,190.55,47.64,110
21,mag_8.25,na,33.5,32.5,35,3.72,305,5,267.61,66.9,110
22,mag_8.5,na,33.5,32.5,35,4.47,305,5,375.84,93.96,110
23,mag_8.75,na,33.5,32.5,35,5.37,305,5,527.84,131.96,110
24,mag_9,na,33.5,32.5,35,6.46,305,5,741.31,185.33,110
25,mag_9.25,na,33.5,32.5,35,7.76,305,5,1041.12,260.28,110
26,mag_9.5,na,33.5,32.5,35,9.33,305,5,1462.18,365.54,110
27,mag_6.5,na,34,32.5,35,0.54,305,5,24.83,11.75,110
28,mag_6.75,na,34,32.5,35,0.76,305,5,34.87,14.13,110
29,mag_7,na,34,32.5,35,1.07,305,5,48.98,16.98,110
30,mag_7.25,na,34,32.5,35,1.5,305,5,68.79,20.42,110
31,mag_7.5,na,34,32.5,35,2.1,305,5,96.61,24.55,110
32,mag_7.75,na,34,32.5,35,2.57,305,5,135.68,33.92,110
33,mag_8,na,34,32.5,35,3.09,305,5,190.55,47.64,110
34,mag_8.25,na,34,32.5,35,3.72,305,5,267.61,66.9,110
35,mag_8.5,na,34,32.5,35,4.47,305,5,375.84,93.96,110
36,mag_8.75,na,34,32.5,35,5.37,305,5,527.84,131.96,110
37,mag_9,na,34,32.5,35,6.46,305,5,741.31,185.33,110
38,mag_9.25,na,34,32.5,35,7.76,305,5,1041.12,260.28,110
39,mag_9.5,na,34,32.5,35,9.33,305,5,1462.18,365.54,110
40,mag_6.5,na,31.5,32.5,35,0.54,305,5,24.83,11.75,110
41,mag_6.75,na,31.5,32.5,35,0.76,305,5,34.87,14.13,110
42,mag_7,na,31.5,32.5,35,1.07,305,5,48.98,16.98,110
43,mag_7.25,na,31.5,32.5,35,1.5,305,5,68.79,20.42,110
44,mag_7.5,na,31.5,32.5,35,2.1,305,5,96.61,24.55,110
