id	lat	long	$gauge	
1014	-69.00777	39.57028	Antarctica - Syowa 	
1028	-65.25	-64.27	Antarctica - Vernadsky 	
2540	-65.25	-64.27	Antarctica - Vernadsky - Faraday	
979	-54.9333	-67.6112	Chile - Puerto_Williams_CL 	
911	-54.28	-36.5	UK - King Edward Point 	
2529	-53.12361	-70.86028	Chile - Punta Arenas_CL	
2534	-52.9666	-74.0667	Chile - Caleta Meteoro_CL	
1009	-51.75	-57.93333	UK - Stanley 	
2536	-49.3525	70.0218	France - Kerguelen Island	
912	-49.345	70.22	France - Kerguelen 	
2538	-49.132	-74.4219	Chile - Puerto Eden_CL	
1504	-47.754	-65.915	Argentina - Puerto Deseado 	
61	-46.92215	160.5621	Station 55015 - DART TASMAN SEA 1	
931	-46.8667	37.8667	South-Africa - Marion Island 	
1056	-46.66528	161.0014	Station 55013 - ETD TASMAN SEA 2	
1466	-46.085	166.589	New Zealand - Puysegur Welcome Bay 	
1538	-45.814	170.629	New Zealand - Dunedin 	
1541	-45.467	-72.817	Chile - Puerto Chacabuco 	
2495	-44.853	161.728	Station 55042 - Tasman Sea 2	
1290	-44.025	-176.369	New Zealand - Chatham Island	
1315	-43.973	168.616	New Zealand - Jackson Bay	
1033	-43.9458	-176.5608	New Zealand - Waitangi Chatham_NZ	
2508	-43.89833	-73.74833	Chile - Puerto Melinka_CL	
1557	-43.57	172.773	New Zealand - Christchurch 	
1529	-42.763	-65.031	Argentina - Puerto Madryn 	
1008	-42.5459	147.9327	Australia - Spring_Bay_AU 	
2500	-42.48055	-73.75833	Chile - Castro_CL	
1515	-42.413	173.703	New Zealand - Kaikoura 	
807	-41.86	-74.35	Chile - Ancud_Chile 	
969	-41.4833	-72.9666	Chile - Puerto_Montt_CL 	
2461	-41.28462	174.7791	New Zealand - Wellington	
820	-41.0501	145.915	Australia - Burnie_Tasmania_AU 	
1446	-40.899	176.232	New Zealand - Castlepoint 	
2498	-40.5808	-73.7372	Chile - Bahia Mansa_CL	
849	-39.87803	-73.422161	Chile - Corral_CL 	
945	-39.47566	176.9201	New Zealand - Napier 	
885	-38.67541	178.0229	New Zealand - Gisborne 	
973	-38.3434	141.6132	Australia - Portland_AU 	
1543	-38	-57.539	Argentina - Mar del Plata 	
1411	-37.641	176.181	New Zealand - Port of Tauranga	
1522	-37.59	-73.66	Chile - Lebu 	
1334	-37.55	178.159	New Zealand - East Cape	
1558	-37.05	-12.3	UK - Tristan da Cunha 	
1533	-37.047	174.512	New Zealand - Manakau 	
1017	-36.6833	-73.1	Chile - Talcahuano_CL 	
1502	-35.36	-72.46	Chile - Constitucion 	
974	-35.1086	138.467	Australia - Port_Stanavac_AU 	
966	-34.4738	150.9119	Australia - Port_Kembla_AU 	
1002	-34.18333	18.43333	South-Africa - Simonstown 	
976	-33.96666	25.63333	South-Africa - Port Elizabeth 	
870	-33.8709	121.8954	Australia - Esperance_AU 	
904	-33.617	-78.825	Chile - Juan_Fernandez 	
993	-33.5833	-71.6333	Chile - San_Antonio_CL 	
1026	-33.033	-71.617	Chile - Valparaiso_CL 	
1098	-33.005	-172.985	Station 54401 - 640NM Northeast of Auckland- New Zealand	
1019	-32.1489	133.6413	Australia - Thevenard_AU 	
892	-31.8255	115.7386	Australia - Hillarys_Harbor_AU 	
847	-29.93	-71.35	Chile - Coquimbo_CL 	
2501	-29.88333	31.03333	South-Africa - Durban	
1469	-29.28	-177.894	New Zealand - Raoul Island Boat Cove 	
1470	-29.251	-177.904	New Zealand - Raoul Island Fishing Rock 	
865	-27.153	-109.448	Chile - Easter_CL 	
829	-27.058	-70.834	Chile - Caldera_CL 	
991	-26.258	-80.124	Chile - San_Felix_CL 	
2444	-26	176	Station 55016 - ETD Fiji Basin	
1294	-24.221	113.397	Australia - Cape Cuvier Wharf	
900	-23.91666	35.5	Mozambique - Inhambane 	
1482	-23.342	-149.476	France - Tubuai Austral Islands 	
808	-23.32	-70.428	Chile - Antofagasta_CL 	
985	-23.161	150.7902	Australia - Rosslyn_Bay_AU 	
983	-23.1333	-134.95	Polynesie Francaise (French Polynesia) - Rikitea_PF 	
2524	-23.0975	-70.45083	Chile - Mejillones_CL	
60	-23.01333	163.0083	Station 55012 - DART Coral Sea	
48	-22.99322	-168.0981	400 NM Southeast of Tonga	
1035	-22.9492	14.4986	Namibia - Walvis Bay 	
1536	-22.247	166.412	France - Noumea - Numbo (New Caledonia) 	
2507	-21.98288	166.6833	New Caledonia - Ouinne	
970	-21.8167	114.191	Australia - PtMurat 	
2489	-21.2049	-159.7852	Cook Islands - Avatiu Rarotonga harbour wharf	
981	-21.2	-159.783	Cook Islands - Rarotonga_CK 	
2481	-21.138	-175.1815	Tonga Island - Nuku'Alofa Harbour wharf	
950	-21.1368	-175.1807	Tonga Island - Nukualofa_TO 	
1549	-20.92	55.28	France - Pointe des Galets (Reunion Island) GTS 	
1390	-20.92	55.28	France - Pointe des Galets (La Reunion)	
2522	-20.91847	167.2787	France - Lifou	
2539	-20.89278	55.53695	France - Sainte Marie (Reunion island)	
2528	-20.80028	-70.19417	Chile - Patache_CL	
2479	-20.69283	164.9422	France - Hienghene (New Caledonia)	
1283	-20.444	57.711	Mauritius - Blue Bay	
901	-20.2167	-70.17	Chile - Iquique_CL 	
978	-20.15716	57.5043	Mauritius - Pt.Louis 	
984	-19.68024	63.42119	Mauritius - Rodrigues 	
2483	-19.5966	-70.2136	Chile - PISAGUA_CL	
27	-19.547	-74.813	260 NM West-Southwest of Arica Chile	
874	-19.2773	147.0584	Australia - Cape_Ferguson_AU 	
1360	-19.052	-169.921	Niue - Niue	
811	-18.472	-70.335	Chile - Arica_CL 	
1559	-18.16	49.427	Madagascar - Toamasina 	
1030	-18.1342	178.4236	Fiji Islands - Suva_Viti_Levu_FJ 	
827	-18.0008	122.2186	Australia - Broome_AU 	
